run_id,val_aucpr,val_f1_score,train_aucpr,train_f1_score,test_f1_score,test_aucpr
0622_124238,0.8592470553844208,0.7854454203262233,0.8970914634915476,0.8233480176211454,0.7641936607453849,0.8379567166348681
0622_123630,0.8114642018176937,0.743879472693032,0.8946283221264688,0.8215081590108547,0.7878985035783995,0.8625297741972794
0622_123032,0.8548084874491302,0.7840909090909091,0.8950849210544483,0.8198246080255116,0.7738139021699154,0.8505727694180768
0622_122350,0.8669554522819578,0.7957078002476269,0.8949900018649071,0.8195409559907348,0.7520661157024794,0.8202349723664004
0622_121746,0.8511055505260601,0.7702349869451697,0.8947253004150679,0.8206405201632427,0.7831025914093007,0.8573947997245603
0622_121153,0.850663051134756,0.7964860907759883,0.8702820237137713,0.7986803313210726,0.7675544794188862,0.8425962768659139
0622_120518,0.8430610577140288,0.8,0.8821041071122218,0.8097518502394427,0.7723855092276145,0.8446158614116981
0622_115845,0.9037844540030607,0.8240601503759398,0.8824642074811118,0.8081032672472361,0.7658175842235004,0.8351230388251151
0622_115219,0.8718635855944412,0.8061104582843713,0.8953638441653977,0.8203696316979125,0.7996729354047425,0.8675400018273063
0622_114606,0.8781465125431829,0.8027812895069533,0.8886590340642573,0.8162046908315566,0.8078565328778822,0.879117941859777
0622_114019,0.835324690260091,0.8161328588374852,0.8880843054214609,0.8122759214111573,0.7942260442260443,0.8673205035661107
0622_113410,0.8752115465156696,0.7986725663716814,0.8906823356737976,0.8138434500473165,0.8078979843685726,0.8715773810021255
0622_112757,0.8535560284237913,0.8114035087719298,0.8957567621635704,0.8177907123877008,0.8077581289218483,0.8600003327227302
0622_112124,0.8961703036552005,0.8278041074249605,0.8861193635262596,0.8141719023252801,0.8161172161172161,0.8685864869580129
0622_111452,0.848972717147381,0.7790262172284644,0.8908408488226274,0.8190713617949517,0.8199189345686161,0.8911638178111817
